#,Contract Address,Token Name,Market Cap,Holders,Website
1,0x0f598112679b78e17a4a9febc83703710d33489c,Monero Gold (XMRG),$0.00,8216,nan
1,0xe0955f26515d22e347b17669993fcefcc73c3a0a,Stacker Ventures Token (STACK),"$811,364.00",432,nan
2,0xC553664B555E23034B9E06f34028BA4B3eb3dCc6,DCAP (DCAP),$0.00,8,nan
3,0xaF183350bDF8082B486CEE23fBfcCa6eA3258DAC,Defi Firefly (DFF),$0.00,162,nan
4,0xc0c61c29ef8beabc694987c93e5fe4af647042e7,Cosimo X (COSX),$0.00,2,nan
5,0x8Ffb89D50eB0b9788f40123Cb3B8b8a84Edb4202,LAO (LAO),$0.00,5,nan
6,0xd91e9a0fef7c0fa4ebdaf4d0acf55888949a2a9b,MCN.VENTURES (MCN),$0.00,90,nan
7,0x4690c74d610e41064475a6fe8cbccf085fc223f8,FABA CAPITAL (FABA),$0.00,389,nan
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
1,0xaDB2437e6F65682B85F814fBc12FeC0508A7B1D0,UniCrypt (UNCX),"$13,417,846.00",1779,nan
2,0x2f4eb47A1b1F4488C71fc10e39a4aa56AF33Dd49,UNCL (UNCL),"$4,942,427.00",878,nan
1,0xEC02cEc4eDD54196D2767b61F43b29A49b056fe6,Unifier (UNIF),$0.00,33,nan
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
1,0xbf8734c5a7b3e6d88aa0110bebb37844ac043d0a,unagii_Tether USD_v2 (uUSDTv2),$0.00,42,nan
2,0x634b0273d7060313faa60f96705116c9de50fa1f,unagii_Dai Stablecoin_v2 (uDAIv2),$0.00,115,nan
3,0x791fb6a7152e980233cd94d83fd4b4630f888c5c,Unagii KNC PoolMaster (uKNC),$0.00,144,nan
4,0x7f20551e082ba3e035f2890cbd1ec4e275b9c8c0,unagii_Wrapped BTC_v2 (uWBTCv2),$0.00,15,nan
5,0x49b09e7e434a3a4a924a3b640cbba54bf93b5677,unagii_USD Coin_v2 (uUSDCv2),$0.00,165,nan
6,0xde07f45688cb6cfaac398c1485860e186d55996d,unagii_ETH_v2 (uETHv2),$0.00,212,nan
1,0x79256db1bdb6259315a1a3d7dd237f69cadfd8fc,Typhoon (PHOON),$0.00,470,nan
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
